condition,agentType,observations,initEvals,finalEvals,groupDecision,additionalInfo
Hierarchy,GEMINI,"[['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family']]","[[7, 6, 8, 4], [4, 6, 3, 8], [8, 7, 3, 2], [7, 8, 6, 8], [7, 5, 3, 2], [5, 8, 9, 6]]","[[6, 8, 8, 7], [5, 6, 6, 9], [7, 7, 6, 4], [6, 8, 7, 9], [8, 6, 6, 4], [4, 8, 9, 7]]","[6, 8, 8, 7]","[[0], [1, 2, 3, 4, 5]]"
Hierarchy,GEMINI,"[[""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""]]","[[8, 7, 6, 8], [7, 8, 7, 3], [3, 5, 2, 8], [7, 8, 9, 3], [2, 6, 4, 8], [4, 5, 7, 8]]","[[8, 7, 8, 9], [9, 8, 9, 7], [9, 8, 9, 7], [9, 8, 9, 7], [1, 6, 4, 8], [7, 7, 9, 7]]","[9, 8, 9, 7]","[[3], [0, 1, 2, 4, 5]]"
Hierarchy,GEMINI,"[[""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor']]","[[6, 4, 3, 8], [2, 6, 8, 1], [2, 6, 9, 1], [2, 7, 3, 4], [2, 7, 8, 3], [5, 8, 9, 3]]","[[6, 4, 5, 8], [4, 6, 7, 1], [2, 6, 7, 3], [2, 7, 5, 4], [3, 7, 7, 4], [4, 8, 9, 3]]","[3, 7, 7, 4]","[[4], [0, 1, 2, 3, 5]]"
Hierarchy,GEMINI,"[[""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor']]","[[8, 7, 3, 6], [6, 7, 7, 8], [5, 7, 7, 3], [6, 7, 8, 4], [3, 5, 4, 8], [3, 7, 9, 2]]","[[8, 7, 5, 5], [7, 7, 8, 7], [4, 8, 8, 3], [5, 7, 9, 3], [6, 7, 7, 5], [5, 7, 9, 3]]","[5, 7, 9, 3]","[[3], [0, 1, 2, 4, 5]]"
Hierarchy,GEMINI,"[[""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""]]","[[3, 7, 9, 6], [6, 7, 4, 8], [3, 5, 5, 7], [3, 6, 7, 8], [4, 6, 7, 8], [6, 7, 5, 3]]","[[3, 8, 9, 8], [7, 7, 4, 8], [6, 7, 6, 8], [3, 7, 8, 8], [5, 6, 7, 8], [6, 7, 5, 3]]","[6, 7, 6, 8]","[[2], [0, 1, 3, 4, 5]]"
Hierarchy,GEMINI,"[[""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.']]","[[6, 4, 3, 8], [3, 7, 9, 1], [6, 8, 9, 3], [3, 7, 9, 8], [4, 6, 5, 7], [3, 6, 5, 7]]","[[6, 4, 5, 8], [2, 8, 9, 4], [5, 6, 8, 5], [4, 7, 8, 8], [5, 5, 6, 7], [4, 7, 8, 8]]","[4, 7, 8, 8]","[[3], [0, 1, 2, 4, 5]]"
Hierarchy,GEMINI,"[[""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""]]","[[2, 8, 6, 3], [6, 7, 6, 7], [3, 8, 9, 4], [3, 8, 10, 2], [4, 7, 9, 3], [7, 8, 6, 7]]","[[4, 8, 6, 5], [2, 8, 9, 6], [6, 6, 7, 6], [2, 8, 8, 5], [2, 8, 9, 6], [4, 8, 7, 7]]","[2, 8, 9, 6]","[[1], [0, 2, 3, 4, 5]]"
Hierarchy,GEMINI,"[['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""]]","[[3, 6, 4, 8], [5, 7, 4, 6], [4, 6, 8, 7], [5, 8, 8, 3], [3, 7, 5, 4], [6, 7, 7, 8]]","[[6, 6, 4, 9], [6, 7, 4, 8], [5, 6, 9, 7], [6, 6, 9, 7], [7, 7, 8, 8], [7, 7, 8, 8]]","[7, 7, 8, 8]","[[5], [0, 1, 2, 3, 4]]"
Hierarchy,GEMINI,"[['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family']]","[[3, 9, 10, 1], [2, 7, 5, 8], [3, 7, 6, 8], [1, 7, 3, 8], [4, 8, 9, 6], [3, 6, 8, 9]]","[[3, 10, 10, 3], [3, 7, 8, 8], [2, 7, 8, 9], [3, 7, 3, 9], [4, 8, 9, 6], [2, 6, 9, 9]]","[2, 7, 8, 9]","[[2], [0, 1, 3, 4, 5]]"
Hierarchy,GEMINI,"[['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""]]","[[5, 6, 8, 3], [5, 7, 8, 3], [7, 8, 9, 6], [7, 8, 5, 3], [5, 7, 9, 3], [5, 7, 8, 6]]","[[7, 7, 9, 3], [5, 8, 9, 5], [7, 8, 9, 5], [8, 9, 8, 3], [8, 7, 9, 2], [5, 7, 8, 5]]","[7, 7, 9, 3]","[[0], [1, 2, 3, 4, 5]]"
