condition,agentType,observations,initEvals,finalEvals,groupDecision,additionalInfo
Council,GEMINI,"[['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.']]","[[3, 7, 8, 2], [7, 8, 6, 3], [5, 8, 9, 7], [3, 7, 9, 4], [7, 8, 7, 3], [1, 5, 1, 8]]","[[6, 7, 9, 6], [8, 8, 8, 6], [5, 8, 9, 7], [5, 7, 9, 6], [8, 8, 8, 6], [4, 6, 7, 8]]","[6.0, 7.333333333333333, 8.333333333333334, 6.5]",
Council,GEMINI,"[[""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family']]","[[8, 7, 6, 9], [6, 7, 9, 5], [3, 8, 9, 4], [3, 6, 8, 7], [7, 8, 6, 4], [4, 7, 9, 3]]","[[5, 7, 9, 6], [4, 7, 9, 4], [3, 8, 9, 5], [3, 6, 9, 6], [3, 8, 9, 4], [4, 7, 9, 6]]","[3.6666666666666665, 7.166666666666667, 9.0, 5.166666666666667]",
Council,GEMINI,"[['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack']]","[[2, 7, 5, 4], [4, 6, 6, 7], [5, 8, 7, 3], [5, 7, 9, 3], [7, 6, 6, 8], [5, 7, 6, 4]]","[[5, 7, 8, 4], [6, 7, 8, 7], [6, 8, 9, 2], [5, 8, 9, 2], [8, 8, 9, 3], [7, 8, 8, 3]]","[6.166666666666667, 7.666666666666667, 8.5, 3.5]",
Council,GEMINI,"[['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack']]","[[5, 8, 9, 3], [6, 7, 3, 8], [3, 7, 5, 4], [6, 7, 7, 3], [2, 6, 7, 8], [5, 7, 9, 6]]","[[6, 8, 8, 6], [7, 7, 7, 8], [6, 8, 7, 6], [6, 8, 6, 5], [6, 7, 7, 8], [6, 7, 7, 7]]","[6.166666666666667, 7.5, 7.0, 6.666666666666667]",
Council,GEMINI,"[[""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor']]","[[6, 8, 9, 5], [6, 6, 5, 8], [6, 7, 8, 5], [6, 8, 9, 3], [7, 8, 9, 6], [7, 8, 3, 4]]","[[6, 8, 9, 4], [6, 8, 7, 4], [6, 8, 8, 4], [6, 8, 9, 3], [7, 8, 9, 5], [7, 8, 5, 5]]","[6.333333333333333, 8.0, 7.833333333333333, 4.166666666666667]",
Council,GEMINI,"[['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack']]","[[3, 7, 9, 2], [4, 5, 6, 8], [3, 7, 5, 4], [4, 7, 9, 3], [2, 7, 5, 3], [3, 7, 6, 4]]","[[1, 7, 9, 6], [1, 7, 9, 6], [1, 7, 9, 6], [1, 7, 9, 6], [2, 8, 9, 6], [2, 8, 8, 6]]","[1.5, 8.0, 8.833333333333334, 6.666666666666667]",
Council,GEMINI,"[['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.']]","[[3, 4, 6, 8], [7, 8, 7, 3], [1, 7, 6, 3], [6, 7, 9, 8], [6, 7, 7, 3], [5, 8, 8, 3]]","[[4, 7, 7, 2], [7, 8, 7, 3], [5, 7, 8, 3], [5, 7, 9, 6], [6, 7, 6, 2], [5, 8, 8, 3]]","[5.333333333333333, 7.333333333333333, 7.5, 3.1666666666666665]",
Council,GEMINI,"[['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""]]","[[3, 8, 9, 7], [4, 6, 9, 7], [3, 8, 9, 2], [6, 5, 7, 8], [3, 7, 9, 2], [8, 7, 5, 3]]","[[3, 8, 9, 7], [4, 8, 9, 7], [3, 8, 9, 2], [3, 8, 7, 8], [3, 8, 9, 6], [4, 7, 9, 7]]","[3.3333333333333335, 7.833333333333333, 8.666666666666666, 6.166666666666667]",
Council,GEMINI,"[['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family']]","[[6, 7, 5, 3], [2, 7, 9, 3], [5, 7, 6, 3], [3, 7, 9, 8], [3, 7, 6, 8], [3, 7, 9, 8]]","[[4, 7, 8, 7], [2, 7, 9, 6], [4, 7, 8, 5], [3, 7, 9, 7], [3, 7, 8, 7], [3, 7, 9, 8]]","[3.1666666666666665, 7.0, 8.5, 6.666666666666667]",
Council,GEMINI,"[['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.']]","[[7, 8, 7, 5], [6, 9, 10, 3], [6, 5, 3, 7], [3, 7, 9, 2], [1, 7, 6, 4], [3, 6, 9, 8]]","[[5, 6, 3, 8], [5, 6, 3, 8], [5, 6, 3, 8], [5, 6, 3, 8], [5, 6, 3, 8], [5, 6, 3, 8]]","[5.0, 6.0, 3.0, 8.0]",
